IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY
Chrysene,Uncommon,Uncommon
Endosulfan sulfate,Uncommon,Uncommon
.beta.-Endosulfan,Uncommon,Uncommon
.alpha.-Endosulfan,Uncommon,Uncommon
Endrin aldehyde,Uncommon,Uncommon
Fluorene,Uncommon,Uncommon
Methyl bromide [Bromomethane],Uncommon,Uncommon
Methyl chloride [Chloromethane],Uncommon,Uncommon
Trichlorofluoromethane,Uncommon,Uncommon
"1,1-Dichloroethane",Uncommon,Uncommon
Benzo[ghi]perylene,Uncommon,Uncommon
Benzo[a]anthracene,Uncommon,Uncommon
"1,2-Dichlorobenzene",Uncommon,Uncommon
"1,2-Dichloropropane",Uncommon,Uncommon
"trans-1,2-Dichloroethylene",Uncommon,Uncommon
"1,2,4-Trichlorobenzene",Uncommon,Uncommon
"1,3-Dichlorobenzene",Uncommon,Uncommon
"2-Chloroethyl vinyl ether, [mixed]",Uncommon,Uncommon
2-Chloronaphthalene,Uncommon,Uncommon
2-Chlorophenol,Uncommon,Uncommon
2-Nitrophenol,Uncommon,Uncommon
Di-n-octyl phthalate,Uncommon,Uncommon
"2,4-Dichlorophenol",Uncommon,Uncommon
"2,4-Dimethylphenol",Uncommon,Uncommon
"2,6-Dinitrotoluene",Uncommon,Uncommon
4-Bromophenyl phenyl ether,Uncommon,Uncommon
4-Chlorophenyl phenyl ether,Uncommon,Uncommon
4-Nitrophenol,Uncommon,Uncommon
"4,6-Dinitro-o-cresol",Uncommon,Uncommon
PCB-1016,Uncommon,Uncommon
Phenol,Uncommon,Uncommon
"trans-1,3-Dichloropropene",Uncommon,Uncommon
"cis-1,3-Dichloropropene",Uncommon,Uncommon
Bolero,Uncommon,Uncommon
"Surfactants, as CTAS, effluent",Uncommon,Uncommon
Aminocarb,Uncommon,Uncommon
Barban,Uncommon,Uncommon
Dalapon,Uncommon,Uncommon
Fenuron,Uncommon,Uncommon
Methiocarb,Uncommon,Uncommon
Mexacarbate,Uncommon,Uncommon
Monuron,Uncommon,Uncommon
Neburon,Uncommon,Uncommon
Propoxur,Uncommon,Uncommon
Siduron,Uncommon,Uncommon
SWEP,Uncommon,Uncommon
Chloromethane,Uncommon,Uncommon
"2,3,7,8-Tetrachlorodibenzofuran",Uncommon,Uncommon
"Bentazon, total",Uncommon,Uncommon
Fluometuron,Uncommon,Uncommon
Oxamyl,Uncommon,Uncommon
Pentachlorophenol,Uncommon,Uncommon
Atrazine,Uncommon,Uncommon
Benzidine,Uncommon,Uncommon
Alachlor,Uncommon,Uncommon
Vinyl chloride,Uncommon,Uncommon
Trichloroethylene,Uncommon,Uncommon
Aldrin,Uncommon,Uncommon
.alpha.-BHC,Uncommon,Uncommon
.beta.-BHC,Uncommon,Uncommon
.gamma.-BHC,Uncommon,Uncommon
DDT,Uncommon,Uncommon
"Endosulfan, total",Uncommon,Uncommon
Ethion,Uncommon,Uncommon
Methoxychlor,Uncommon,Uncommon
PCB-1221,Uncommon,Uncommon
PCB-1232,Uncommon,Uncommon
PCB-1242,Uncommon,Uncommon
PCB-1248,Uncommon,Uncommon
Propham,Uncommon,Uncommon
PCB-1254,Uncommon,Uncommon
PCB-1260,Uncommon,Uncommon
Parathion,Uncommon,Uncommon
Demeton,Uncommon,Uncommon
Guthion,Uncommon,Uncommon
Methyl parathion,Uncommon,Uncommon
Hexachlorobenzene,Uncommon,Uncommon
Picloram,Uncommon,Uncommon
"2,4-Dichlorophenoxyacetic acid",Uncommon,Uncommon
Sevin,Uncommon,Uncommon
Mirex,Uncommon,Uncommon
Lindane,Uncommon,Uncommon
Phenols,Uncommon,Uncommon
Ethyl parathion,Uncommon,Uncommon
Methylene blue active substances,Uncommon,Uncommon
"1,2-Dibromo-3-chloropropane",Uncommon,Uncommon
Molinate,Uncommon,Uncommon
Duration,Uncommon,Uncommon
Surface loading rate,Uncommon,Uncommon
"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",Uncommon,Uncommon
Ultraviolet light transmittance,Uncommon,Uncommon
"2,4-D SALTS AND ESTERS",Uncommon,Uncommon
Di[2-ethylhexyl] adipate,Uncommon,Uncommon
Endothall,Uncommon,Uncommon
Bicarbonate as [CaCO3],Uncommon,Uncommon
Carbonate ion [as CaCO3],Uncommon,Uncommon
Sodium Bisulfite,Uncommon,Uncommon
"Nitrogen, Nitrite  Total",Uncommon,Uncommon
"Nitrogen, Nitrate  Total",Uncommon,Uncommon
"Nitrogen, Kjeldahl  Total",Uncommon,Uncommon
Esfenvalerate [Asana],Uncommon,Uncommon
"Flow, total",Uncommon,Uncommon
Imazapyr,Uncommon,Uncommon
Triclopyr,Uncommon,Uncommon
Penoxsulam,Uncommon,Uncommon
Fluridone,Uncommon,Uncommon
Dichloroacetic acid [DCAA],Uncommon,Uncommon
Monobromoacetic acid [MBAA],Uncommon,Uncommon
Peracetic Acid,Uncommon,Uncommon
.lambda.-Cyhalothrin,Uncommon,Uncommon
Giardia,Uncommon,Uncommon
"Volume, total",Uncommon,Uncommon
Tris[2-chloroethyl] phosphate [TCEP],Uncommon,Uncommon
"TDCPP [Tris[1,3-dichloro-2-propyl] phosphate]",Uncommon,Uncommon
TCPP [Tris [1-chloro-2-propyl] phosphate],Uncommon,Uncommon
Hydroxide,Uncommon,Uncommon
"Carbon, dissolved inorganic [as C]",Uncommon,Uncommon
"2,2',5-TrCB , PCB-18  congener",Uncommon,Uncommon
" 2,4,4'-TrCB, PCB-28  congener",Uncommon,Uncommon
"3,4,4'-TrCB , PCB-37  congener",Uncommon,Uncommon
"2,2',3,5'-TeCB, PCB-44  congener",Uncommon,Uncommon
"2,2',4,5'-TeCB , PCB-49  congener",Uncommon,Uncommon
"2,2',5,5'-TeCB, PCB-52  congener",Uncommon,Uncommon
"2,3',4,4'-TeCB, PCB-66  congener",Uncommon,Uncommon
"2,3',4',5-TeCB , PCB-70  congener",Uncommon,Uncommon
"2,4,4',5-TeCB , PCB-74  congener",Uncommon,Uncommon
"3,3',4,4'-TeCB, PCB-77  congener",Uncommon,Uncommon
"3,4,4',5-TeCB, PCB-81  congener",Uncommon,Uncommon
"2,2',3,4,5'-PeCB , PCB-87  congener",Uncommon,Uncommon
"2,2',4,4',5-PeCB , PCB-99  congener",Uncommon,Uncommon
"2,2',4,5,5'-PeCB, PCB-101  congener",Uncommon,Uncommon
"2,3,3',4,4'-PeCB, PCB-105  congener",Uncommon,Uncommon
"2,3,3',4',6-PeCB , PCB-110  congener",Uncommon,Uncommon
"2,3,4,4',5-PeCB, PCB-114  congener",Uncommon,Uncommon
"2,3',4,4',5-PeCB, PCB-118  congener",Uncommon,Uncommon
"2,3',4,4',6-PeCB , PCB-119  congener",Uncommon,Uncommon
"2',3,4,4',5-PeCB, PCB-123  congener",Uncommon,Uncommon
"3,3',4,4',5-PeCB, PCB-126  congener",Uncommon,Uncommon
"2,2',3,3',4,4'-HxCB, PCB-128  congener",Uncommon,Uncommon
"2,2',3,4,4',5'-HxCB, PCB-138  congener",Uncommon,Uncommon
"2,2',3,4',5',6-HxCB , PCB-149  congener",Uncommon,Uncommon
"2,2',3,5,5',6-HxCB , PCB-151  congener",Uncommon,Uncommon
"2,2',4,4',5,5'-HxCB, PCB-153  congener",Uncommon,Uncommon
"2,3,3',4,4',5-HxCB, PCB-156  congener",Uncommon,Uncommon
"2,3,3',4,4',5'-HxCB, PCB-157  congener",Uncommon,Uncommon
"2,3,3',4,4',6-HxCB , PCB-158  congener",Uncommon,Uncommon
"2,3',4,4',5,5'-HxCB, PCB-167  congener",Uncommon,Uncommon
"2,3',4,4',5',6-HxCB , PCB-168  congener",Uncommon,Uncommon
"2,2',3,3',4,4',5-HpCB, PCB-170  congener",Uncommon,Uncommon
"2,2',3,3',4',5,6-HpCB , PCB-177  congener",Uncommon,Uncommon
"2,2',3,4,4',5,5'-HpCB, PCB-180  congener",Uncommon,Uncommon
"2,2',3,4,4',5',6-HpCB , PCB-183  congener",Uncommon,Uncommon
"2,2',3,4',5,5',6-HpCB, PCB-187  congener",Uncommon,Uncommon
"2,3,3',4,4',5,5'-HpCB, PCB-189  congener",Uncommon,Uncommon
"2,2',3,3',4,4',5,5'-OcCB , PCB-194  congener",Uncommon,Uncommon
"2,2',3,3',4,5',6,6'-OcCB , PCB-201  congener",Uncommon,Uncommon
"2,2',3,3',4,4',5,5',6-NoCB, PCB-206  congener",Uncommon,Uncommon
"Polychlorinated biphenyls [PCBs], sum of congeners",Uncommon,Uncommon
Imazamox,Uncommon,Uncommon
Corrosivity,Uncommon,Uncommon
"3,3',4,4',5,5'-HxCB,PCB-169 congener",Uncommon,Uncommon
BDE 47,Uncommon,Uncommon
BDE 99,Uncommon,Uncommon
BDE 100,Uncommon,Uncommon
BDE 183,Uncommon,Uncommon
PER-AND POLYFLUOROALKYL SUBSTANCES,Uncommon,Uncommon
Perchlorate [ClO4],Uncommon,Uncommon
Cryptosporidium,Uncommon,Uncommon
Ultraviolet light dosage,Uncommon,Uncommon
4-Chloro-3-methylphenol,Uncommon,Uncommon
"Solids, total dissolved [TDS]",Uncommon,Uncommon
"Phosphate, total, color method [as P]",Uncommon,Uncommon
Urea,Uncommon,Uncommon
"Nitrogen, ammonia total [as NH4]",Uncommon,Uncommon
"Nitrogen, nitrate total [as NO3]",Uncommon,Uncommon
"Nitrogen, nitrite total [as NO2]",Uncommon,Uncommon
Reservoir storage,Uncommon,Uncommon
"Xylenes [total], dry weight",Uncommon,Uncommon
"Stream flow, estimated",Uncommon,Uncommon
"cis-1,2-Dichloroethylene",Uncommon,Uncommon
"1,3-Dichloropropene",Uncommon,Uncommon
"1,2,3-Trichloropropane",Uncommon,Uncommon
Ethylene dibromide,Uncommon,Uncommon
"1,1,2-Trichloro-1,2,2-trifluoroethane",Uncommon,Uncommon
Nonylphenol,Uncommon,Uncommon
Monochloroacetic acid [MCAA],Uncommon,Uncommon
"Chromium, hexavalent tot recoverable",Uncommon,Uncommon
"2,4,5-TP",Uncommon,Uncommon
"Glyphosate, total",Uncommon,Uncommon
"Dechlorination reagent, gen",Uncommon,Uncommon
Dilution factor,Uncommon,Uncommon
Methylmercury,Uncommon,Uncommon
Chemical Oxygen Demand [COD],Uncommon,Uncommon
Sulfate,Uncommon,Uncommon
Chlorpropham,Uncommon,Uncommon
Duration of discharge,Uncommon,Uncommon
Chlorine usage,Uncommon,Uncommon
Carbofuran,Uncommon,Uncommon
Xylene [mix of m+o+p],Uncommon,Uncommon
Dioxane,Uncommon,Uncommon
"Sulfide, total",Uncommon,Uncommon
Styrene,Uncommon,Uncommon
"Sulfur dioxide, total",Uncommon,Uncommon
"Boron, total",Uncommon,Uncommon
"Radioactivity, gross",Uncommon,Uncommon
"Hydrocarbons, petroleum",Uncommon,Uncommon
Ammonia & ammonium- total,Uncommon,Uncommon
Azinphos-methyl,Uncommon,Uncommon
Dibromochloropropane,Uncommon,Uncommon
p-Chloro-m-cresol,Uncommon,Uncommon
Dibromoacetic acid [DBAA],Uncommon,Uncommon
Trichloroacetic acid [TCAA],Uncommon,Uncommon
Chloroethane,Uncommon,Uncommon
"Aluminum, acid soluble",Uncommon,Uncommon
IC25 Low Flow Pass/Fail Sub-Lethal Static Renewal 7 Day Chronic Ceriodaphnia dubia,Uncommon,Uncommon
IC25 Low Flow Pass/Fail Sub-Lethal Static Renewal 7 Day Chronic Pimephales promelas,Uncommon,Uncommon
% Effect Static 96HR Acute Americamysis bahia,Uncommon,Uncommon
% Effect Static 96HR Acute Cyprinodeon variegas,Uncommon,Uncommon
%Effect Static 48Hr Chronic Macrocystis pyrifera,Uncommon,Uncommon
%Effect Static 48Hr Chronic Haliotis rufescens,Uncommon,Uncommon
%Effect Static Renewal 96Hr Acute Ceriodaphnia dubia,Uncommon,Uncommon
%Effect Static Renewal 96Hr Acute Oncorhynchus mykiss,Uncommon,Uncommon
%Effect Statre 4Day Chronic Selen. Capr.,Uncommon,Uncommon
%Effect Static Renewal 7 Day Chronic Atherinops affinis,Uncommon,Uncommon
%Effect Static 20Min Chronic Strongylocentrotus purpuratus,Uncommon,Uncommon
%Effect Static 20Min Chronic Dendraster excentricus,Uncommon,Uncommon
Pass/Fail Static 96HR Acute Americamysis bahia,Uncommon,Uncommon
Pass/Fail Static 96 Hr Acute Cyprinodon Variega,Uncommon,Uncommon
Pass/Fail Static 96 Hr Acute Pimephales Promelas,Uncommon,Uncommon
Pass/Fail Static 72Hr Chronic Strongylocentrotus purpuratus,Uncommon,Uncommon
Pass/Fail Static 48Hr Chronic Haliotis rufescens,Uncommon,Uncommon
Pass/Fail Static Renewal 96Hr Acute Ceriodaphnia dubia,Uncommon,Uncommon
Pass/Fail Static Renewal 96Hr Acute Pimephales Promelas,Uncommon,Uncommon
Pass/Fail Static Renewal 96Hr Acute Oncorhynchus mykiss,Uncommon,Uncommon
Pass/Fail Static Renewal 7 Day Chronic Atherinops affinis,Uncommon,Uncommon
Pass/Fail Static 96Hr Chronic Selen. Capricornutum,Uncommon,Uncommon
Pass/Fail Static 20 Minute Fertilization Chronic Strongylocentrotus purpuratus,Uncommon,Uncommon
Pass/Fail Static 20 Minute Fertilization Chronic Dendraster excentricus,Uncommon,Uncommon
Static Renewal 7 Day Chronic Ceriodaphnia dubia,Uncommon,Uncommon
%Surv Static 96Hr Acute Mysidopsis Bahia,Uncommon,Uncommon
% Survival Static 96Hr Acute Americamysis bahia,Uncommon,Uncommon
% Survival Static Renewal 96HR Acute Cyprinodeon variegatus,Uncommon,Uncommon
%Surv Static Renewal 96Hr Acute Mysidopsis bahia,Uncommon,Uncommon
% Survival Static Renewal 96Hr Acute Americamysis bahia,Uncommon,Uncommon
TU Static 96Hr Acute Americamysis bahia (formerly Mysidopsis bahia),Uncommon,Uncommon
Static 96Hr Acute Holmesimysis costata,Uncommon,Uncommon
TU Static 96Hr Acute Cyprinodon variegatus,Uncommon,Uncommon
TU Static Renewal 96Hr Acute Pimphales promelas,Uncommon,Uncommon
TU Flow Thru 96 Hr Acute Menidia beryllina,Uncommon,Uncommon
Static 4Day Chronic Selen. Capricornutum,Uncommon,Uncommon
TU Static 7Day Chronic Menidia beryllina,Uncommon,Uncommon
Static 72Hr Chronic Dendraster excentricus,Uncommon,Uncommon
TU Static 48Hr Chronic Crassostrea gigas,Uncommon,Uncommon
TU Static Renewal 7-Day Chronic Americamysis bahia (formerly Mysidopsis bahia),Uncommon,Uncommon
TU Static Renewal 7-Day Chronic Holmesimysis costata,Uncommon,Uncommon
Static 96Hr Chronic Selen. Capricornutum,Uncommon,Uncommon
Static 96Hr Chronic Thalassiosira Pseudonana Mar.Diat,Uncommon,Uncommon
Static 20Min Chronic Dendraster excentricus,Uncommon,Uncommon
"Chronic Mthd Sublethal Endpt, TSTcHo R/nR Pass/Fail, StatR7d A bahia",Uncommon,Uncommon
"Chronic Mthd Sublethal Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, StatR7d A affinis",Uncommon,Uncommon
"Acute Mthd Survival Endpt, %Effect, Median TSTaHo R/nR Pass/Fail, StatR96hr C dubia",Uncommon,Uncommon
"Acute Mthd Survival Endpt, %Effect, Median TSTaHo R/nR Pass/Fail, StatR96hr A bahia",Uncommon,Uncommon
"Acute Mthd Survival Endpt, %Effect, Median TSTaHo R/nR Pass/Fail, StatR96hr H costata",Uncommon,Uncommon
"Acute Mthd Survival Endpt, %Effect, Median TSTaHo R/nR Pass/Fail, StatR96hr C variegatus",Uncommon,Uncommon
"Acute Mthd Survival Endpt, %Effect, Median TSTaHo R/nR Pass/Fail, StatR96hr P promelas",Uncommon,Uncommon
"Acute Mthd Survival Endpt, %Effect, Median TSTaHo R/nR Pass/Fail, StatR96hr O mykiss",Uncommon,Uncommon
"Chronic Mthd, Survival Endpt %Effect, Growth Endpt Median TSTcHo R/nR Pass/Fail, StatR7d H costata",Uncommon,Uncommon
"Chronic Mthd, Survival Endpt %Effect, Growth Endpt Median TSTcHo R/nR Pass/Fail, StatR7d M beryllina",Uncommon,Uncommon
"Chronic Mthd Larval Development Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Stat72hr D excentricus",Uncommon,Uncommon
"Chronic Mthd Larval Development Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static48hr C gigas",Uncommon,Uncommon
"Chronic Mthd Larval Development Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static48hr Mytilus spp",Uncommon,Uncommon
"Chronic Mthd Fertilization Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static40min D excentricus",Uncommon,Uncommon
