PARAMETER_CODE,DMR_PARAMETER_DESC,POLLUTANT_CODE,PARENT_CATEGORY,SUB_CATEGORY,TOXICS_PARAMETER_DESC_MATCHED,ESMR_PARAMETER_DESC
34283,Bis[2-chloroisopropyl] ether,12149.0,Toxic Organics,Toxic Organics,Bis(2-Chloroisopropyl)Ether,Bis (2-Chloroisopropyl) Ether
34301,Chlorobenzene,10151.0,Toxic Organics,Toxic Organics,Chlorobenzene,Chlorobenzene
34306,Chlorodibromomethane,11664.0,Toxic Organics,Toxic Organics,Chlorodibromomethane,
34336,Diethyl phthalate,10008.0,Toxic Organics,Toxic Organics,Diethyl Phthalate,Diethyl Phthalate
34341,Dimethyl phthalate,10631.0,Toxic Organics,Toxic Organics,Dimethyl Phthalate,Dimethyl Phthalate
34346,"1,2-Diphenylhydrazine",11399.0,Toxic Organics,Toxic Organics,"1,2-Diphenylhydrazine","1,2-Diphenylhydrazine"
34371,Ethylbenzene,10157.0,Toxic Organics,Toxic Organics,Ethylbenzene,Ethylbenzene
34386,Hexachlorocyclopentadiene,10662.0,Toxic Organics,Toxic Organics,Hexachlorocyclopentadiene,Hexachlorocyclopentadiene
34391,Hexachlorobutadiene,10017.0,Toxic Organics,Toxic Organics,Hexachlorobutadiene,Hexachlorobutadiene
34396,Hexachloroethane,10266.0,Toxic Organics,Toxic Organics,Hexachloroethane,Hexachloroethane
50050,"Flow, in conduit or thru treatment plant",11315.0,Flow,Flow,,
50060,"Chlorine, total residual",928.0,Inorganics,Disinfectants,,"Chlorine, Total Residual"
50064,"Chlorine, free available",928.0,Inorganics,Disinfectants,,"Chlorine, Free Available"
81020,Sulfate,6101.0,Solids,Dissolved Solids,,
34447,Nitrobenzene,10164.0,Toxic Organics,Toxic Organics,Nitrobenzene,Nitrobenzene
34475,Tetrachloroethylene,10284.0,Toxic Organics,Toxic Organics,Tetrachloroethylene,
34501,"1,1-Dichloroethylene",10278.0,Toxic Organics,Toxic Organics,"1,1-Dichloroethylene","1,1-Dichloroethylene"
34506,"1,1,1-Trichloroethane",10256.0,Toxic Organics,Toxic Organics,"1,1,1-Trichloroethane","1,1,1-Trichloroethane"
34511,"1,1,2-Trichloroethane",10258.0,Toxic Organics,Toxic Organics,"1,1,2-Trichloroethane","1,1,2-Trichloroethane"
34516,"1,1,2,2-Tetrachloroethane",10257.0,Toxic Organics,Toxic Organics,"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane"
34571,"1,4-Dichlorobenzene",10140.0,Toxic Organics,Toxic Organics,,"1,4-Dichlorobenzene"
34611,"2,4-Dinitrotoluene",10144.0,Toxic Organics,Toxic Organics,"2,4-Dinitrotoluene","2,4-Dinitrotoluene"
34616,"2,4-Dinitrophenol",12011.0,Toxic Organics,Toxic Organics,"2,4-Dinitrophenol","2,4-Dinitrophenol"
34621,"2,4,6-Trichlorophenol",12007.0,Toxic Organics,Toxic Organics,"2,4,6-Trichlorophenol","2,4,6-Trichlorophenol"
34631,"3,3'-Dichlorobenzidine",12519.0,Toxic Organics,Toxic Organics,,"3,3-Dichlorobenzidine"
61211,Enterococci,11237.0,Pathogens,Pathogens,,Enterococci
61736,"Turbidity, time above limit",12454.0,Color and Turbidity,Turbidity,,
TGB3B,Pass/Fail Static 96Hr Acute Ceriodaphnia Dubia,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
TGB6C,Pass/Fail Static 96 Hr Acute Pimephales Promelas,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
TGP3B,Pass/Fail Static Renewal 7 Day Chronic Ceriodaphnia dubia,4677.0,Toxic Organics,Toxic Organics,,
TGP3E,Pass/Fail Static Renewal 7 Day Chronic Americamysis bahia (formerly Mysidopsis bahia),4677.0,Toxic Organics,Toxic Organics,,
TGP6C,Pass/Fail Static Renewal 7Day Chronic Pimephales promelas,4677.0,Toxic Organics,Toxic Organics,,
TRB6C,%Surv Static 96Hr Acute Pimphales Promelas,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
TRB6I,%Surv Static 96Hr Acute Oncorhynchus Mykiss,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
TRM3B,%Srv Static Renewal 48Hr Acute Ceriodaphnia dubia,4677.0,Toxic Organics,Toxic Organics,,
TRN3B,96Hr Acute Ceriodaphn. Dubia % Srv,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
TRN6C,% Survival Static Renewal 96Hr Acute Pimephales promelas,4677.0,Toxic Organics,Toxic Organics,,
TRN6I,%Surv Static Renewal 96Hr Oncorhynchus mykiss,4677.0,Toxic Organics,Toxic Organics,,
TRX6C,% Survival Flow Through 96Hr Acute Pimephales promelas,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
TRX6I,% Survival Flow Through 96Hr Acute Oncorhynchus mykiss,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
TSB6J,TU Static 96Hr Acute Medinia beryllina,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
78218,"Phenolic compounds, unchlorinated",10397.0,Inorganics,Disinfectants,,
82077,"Radiation, gross alpha",10804.0,Other,Other,,"Radiation, Gross Alpha"
82080,"Trihalomethane, tot.",10489.0,Toxic Organics,Toxic Organics,,
82126,"Tritium, total",12446.0,Other,Radiation,,
74055,"Coliform, fecal general",10287.0,Toxic Organics,Toxic Organics,,
74056,"Coliform, total general",4146.0,Toxic Organics,Toxic Organics,,
81383,"Carbonaceous oxygen demand, % removal",10853.0,Organics,COD,,
81524,Dichlorobenzene,10152.0,Toxic Organics,Toxic Organics,,
78248,"Cyanide, total recoverable",5123.0,Inorganics,Toxic Inorganics,,
78456,Halomethanes,11379.0,Toxic Organics,Toxic Organics,,
78480,Effluent dilution ratio,11232.0,Flow,Flow,,
77835,"Hexachlorocyclohexane, total",11128.0,Toxic Organics,Toxic Organics,,
80045,"Alpha, gross particle activity",10804.0,Other,Other,,
80082,"BOD, carbonaceous [5 day, 20 C]",10107.0,Organics,COD,,
80091,"BOD, carb-5 day, 20 deg C, percent removal",10852.0,Organics,COD,,
81010,"BOD, 5-day, percent removal",10846.0,Organics,COD,,
81011,"Solids, suspended percent removal",12240.0,Solids,Suspended Solids,,
TSN6J,TU Static Renewal 96Hr Acute Menidia beryllina,4677.0,Toxic Organics,Toxic Organics,,
TTC1E,TU Static 4 Day Chronic Raphidocelis subcapitata (formerly Selenastrum capricornutum),4677.0,Toxic Organics,Toxic Organics,,
TTD3B,TU Static 7Day Chronic Ceriodaphnia dubia,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
95,Specific conductance,12263.0,Solids,Dissolved Solids,,Specific Conductance
183,"Chlorine, total residual, duration of violation",11094.0,Inorganics,Disinfectants,,
300,"Oxygen, dissolved [DO]",3051.0,Nutrients,Dissolved Oxygen,,
310,"BOD, 5-day, 20 deg. C",10178.0,Organics,COD,,
400,pH,10510.0,pH,pH,,pH
945,"Sulfate, total [as SO4]",6101.0,Solids,Dissolved Solids,,"Sulfate, Total (as SO4)"
82581,"pH range excursions, > 60 minutes",12526.0,pH,pH,,
82582,"pH range excursions, monthly total accum",12532.0,pH,pH,,
82698,TCDD equivalents,10711.0,Toxic Organics,Toxic Organics,,TCDD Equivalents
71901,"Mercury, total recoverable",2448.0,Metals,Mercury,,"Mercury, Total Recoverable"
982,"Thallium, total recoverable",4068.0,Metals,Thallium,,"Thallium, Total Recoverable"
923,"Sodium, total recoverable",6802.0,Solids,Dissolved Solids,,"Sodium, Total Recoverable"
998,"Beryllium, total recoverable [as Be]",4915.0,Metals,Beryllium,,
999,"Boron, total recoverable",10987.0,Inorganics,Toxic Inorganics,,"Boron, Total Recoverable"
1007,"Barium, total [as Ba]",572.0,Metals,Barium,,
TTK3S,Static 48Hr Chronic Mytilis Species,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
51445,"Nitrogen, Total",2817.0,Nutrients,Nitrogen,,
51446,"Nitrogen, Ammonia  Total",375.0,Nutrients,Nitrogen,,
51451,"Phosphorus, Total",5889.0,Nutrients,Phosphorus,,
665,"Phosphorus, total [as P]",5889.0,Nutrients,Phosphorus,,"Phosphorus, Total (as P)"
1062,"Molybdenum, total [as Mo]",6658.0,Metals,Molybdenum,,
1067,"Nickel, total [as Ni]",2741.0,Metals,Nickel,,
1074,"Nickel, total recoverable",2741.0,Metals,Nickel,,"Nickel, Total Recoverable"
1079,Silver total recoverable,3714.0,Metals,Silver,,"Silver, Total Recoverable"
1094,"Zinc, total recoverable",6352.0,Metals,Zinc,,"Zinc, Total Recoverable"
1104,"Aluminum, total recoverable",360.0,Metals,Aluminum,,"Aluminum, Total Recoverable"
1113,"Cadmium, total recoverable",776.0,Metals,Cadmium,,"Cadmium, Total Recoverable"
1114,"Lead, total recoverable",6562.0,Metals,Lead,,"Lead, Total Recoverable"
1118,"Chromium, total recoverable",1012.0,Metals,Chromium,,"Chromium, Total Recoverable"
1119,"Copper, total recoverable",1165.0,Metals,Copper,,"Copper, Total Recoverable"
1147,"Selenium, total [as Se]",3666.0,Metals,Selenium,,
1268,"Antimony, total recoverable",4871.0,Metals,Antimony,,"Antimony, Total Recoverable"
1032,"Chromium, hexavalent [as Cr]",10214.0,Metals,Chromium,,
1033,"Chromium, trivalent [as Cr]",10215.0,Metals,Chromium,,
3530,"Radiation,Gross Beta Particle Activity",99999.0,Other,Other,,
51409,Specific Conductance,99999.0,Solids,Dissolved Solids,,Specific Conductance
10,"Temperature, water deg. centigrade",6128.0,Temperature,Temperature,,
11,"Temperature, water deg. fahrenheit",12389.0,Temperature,Temperature,,
18,Temp. diff. between samp. & upstrm deg. F,12373.0,Temperature,Temperature,,
70,Turbidity,6638.0,Color and Turbidity,Turbidity,,Turbidity
51543,Temperature Increase Deg. F,12389.0,Temperature,Temperature,,
978,"Arsenic, total recoverable",467.0,Metals,Arsenic,,"Arsenic, Total Recoverable"
980,"Iron, total recoverable",2215.0,Metals,Iron,,"Iron, Total Recoverable"
981,"Selenium, total recoverable",3666.0,Metals,Selenium,,"Selenium, Total Recoverable"
530,"Solids, total suspended",10486.0,Solids,Suspended Solids,,
545,"Solids, settleable",12208.0,Solids,Suspended Solids,,
556,Oil & Grease,10364.0,Other,Fuel,,Oil and Grease
600,"Nitrogen, total [as N]",2817.0,Nutrients,Nitrogen,,"Nitrogen, Total (as N)"
610,"Nitrogen, ammonia total [as N]",375.0,Nutrients,Nitrogen,,
612,"Nitrogen, ammonia, tot unionized [as N]",375.0,Nutrients,Nitrogen,,
615,"Nitrogen, nitrite total [as N]",2806.0,Nutrients,Nitrogen,,
619,"Ammonia, unionized",375.0,Nutrients,Nitrogen,,
620,"Nitrogen, nitrate total [as N]",5713.0,Nutrients,Nitrogen,,
630,Nitrite + Nitrate total [as N],10354.0,Nutrients,Nitrogen,,
640,"Nitrogen, inorganic total",2817.0,Nutrients,Nitrogen,,
940,Chloride [as Cl],5033.0,Solids,Dissolved Solids,,
TCP3B,%Effect Static Renewal 7 Day Chronic Ceriodaphnia dubia,4677.0,Toxic Organics,Toxic Organics,,
TCP6C,%Effect Static Renewal 7Day Chronic Pimephales promelas,4677.0,Toxic Organics,Toxic Organics,,
680,"Carbon, tot organic [TOC]",6656.0,Organics,COD,,
720,"Cyanide, total [as CN]",5123.0,Inorganics,Toxic Inorganics,,"Cyanide, Total (as CN)"
51600,"pH Range Excursion, Maximum Duration",99999.0,pH,pH,,
51535,Haloacetic acids [HAA5],200000181.0,Toxic Organics,Toxic Organics,,
TCC1E,%Effect Static 4 Day Chronic Raphidocelis subcapitata,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
TGC1E,Pass/Fail Static 4 Day Chronic Raphidocelis subcapitata,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
51867,"Polychlorinated biphenyls [PCBs], sum of Aroclors",10001.0,Inorganics,Disinfectants,,
13501,"Strontium 90, total",12285.0,Other,Radiation,,
51874,Beta/photon emitters,320002261.0,Other,Other,,
WC13B,"Chronic Mthd Sublethal Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, StatR8dmax C dubia",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WCP6C,"Chronic Mthd Sublethal Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, StatR7d P promelas",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WCP6L,"Chronic Mthd Sublethal Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, StatR7d A affinis",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WDN6J,"Acute Mthd Survival Endpt, %Effect, Median TSTaHo R/nR Pass/Fail, StatR96hr M beryllina",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WDN6L,"Acute Mthd Survival Endpt, %Effect, Median TSTaHo R/nR Pass/Fail, StatR96hr A affinis",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WEP3E,"Chronic Mthd, Survival Endpt %Effect, Growth Endpt Median TSTcHo R/nR Pass/Fail, StatR7d A bahia",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WEP6C,"Chronic Mthd, Survival Endpt %Effect, Growth Endpt Median TSTcHo R/nR Pass/Fail, StatR7d P promelas",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WEP6J,"Chronic Mthd, Survival Endpt %Effect, Growth Endpt Median TSTcHo R/nR Pass/Fail, StatR7d M beryllina",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WEP6L,"Chronic Mthd, Survival Endpt %Effect, Growth Endpt Median TSTcHo R/nR Pass/Fail, StatR7d A affinis",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WF13B,"Chronic Mthd, Survival Endpt %Effect, Reprod Endpt Median TSTcHo R/nR Pass/Fail, StatR8dmax C dubia",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WGR1E,"Chronic Mthd Growth Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static96hr R subcapitata",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WHK3R,"Chronic Mthd Larval Development Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static48hr H rufescens",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WI33L,"Chronic Mthd Fertilization Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static40min S purpuratus",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WJK1D,"Chronic Mthd Germination Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static48hr M pyrifera",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
WKK1D,"Chronic Mthd Germ Tube Length Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static48hr M pyrifera",4677.0,Aquatic Toxicity,Aquatic Toxicity,,
51933,Diazinon + Chlorpyrifos,320002721.0,Toxic Organics,Toxic Organics,,
WH23L,"Chronic Mthd Larval Development Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Stat72hr S purpuratus",,Aquatic Toxicity,Aquatic Toxicity,,
TSB6C,TU LC50 Static Renewal 96Hr Acute Pimephales promelas,4677.0,Toxic Organics,Toxic Organics,,
