PARAMETER_CODE,PARAMETER_DESC,POLLUTANT_CODE,STATUS_FLAG,UNIT_GROUP_CODE,PERCENT_REMOVAL_FLAG,PERCENT_EXCEEDENCE_FLAG,SNC_FLAG,IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY,PARAMETER_CODE_CLEAN
THN6E,Chv Statre 96Hr Acute Lepomis Macrochi,4677,A,16,,Y,,,,,THN6E
THO6E,Chv Statre 4Day Chronic Lepomis Macrochi,4677,A,16,,Y,,,,,THO6E
THP3B,Chv Statre 7Day Chronic Ceriodaphnia,4677,A,16,,Y,,,,,THP3B
THP6C,Chv Statre 7Day Chronic Pimephales,4677,A,16,,Y,,,,,THP6C
THP6E,Chv Statre 7Day Chronic Lepomis Macrochi,4677,A,16,,Y,,,,,THP6E
THW6E,Chv Flth 48Hr Acute Lepomis Macrochi,4677,A,16,,Y,,,,,THW6E
THX6E,Chv Flth 96Hr Acute Lepomis Macrochi,4677,A,16,,Y,,,,,THX6E
THY6E,Chv Flth 4Day Chronic Lepomis Macrochi,4677,A,16,,Y,,,,,THY6E
THZ6E,Chv Flth 7Day Chronic Lepomis Macrochi,4677,A,16,,Y,,,,,THZ6E
TIA3F,LC50 Pass/Fail Static 48Hr Acute Oyster Embryo,4677,A,16,,Y,,,,,TIA3F
TIA6E,LC50 Pass/Fail Static 48Hr Acute Lepomis Macrochirus,4677,A,16,,Y,,,,,TIA6E
TIB6E,LC50 Pass/Fail Static 96Hr Acute Lepomis Macrochiru,4677,A,16,,Y,,,,,TIB6E
TIC6E,LC50 Pass/Fail Static 4Day Chronic Lepomis Macrochiru,4677,A,16,,Y,,,,,TIC6E
TID6E,LC50 Pass/Fail Static 7Day Chronic Lepomis Macrochiru,4677,A,16,,Y,,,,,TID6E
TIE3B,LC50 Pass/Fail Static 24Hr Acute Ceriodaphnia,4677,A,55,,N,,,,,TIE3B
TIE3C,Daphnia Magna Survi-Val 24 Hr. Acute Wet,4677,A,55,,N,,,,,TIE3C
TIE3D,LC50 Pass/Fail Static 24Hr Acute D. Pulex,4677,A,55,,N,,,,,TIE3D
TIE3E,LC50 Pass/Fail Static 24Hr Acute Mysid. Bahia,4677,A,55,,N,,,,,TIE3E
TIE6A,LC50 Pass/Fail Static 24Hr Acute Cyprinodon,4677,A,55,,N,,,,,TIE6A
TIE6B,LC50 Pass/Fail Static 24Hr Acute Menidia menidia,4677,A,55,,N,,,,,TIE6B
TIE6C,LC50 Pass/Fail Static 24Hr Acute Pimphales,4677,A,55,,N,,,,,TIE6C
TIE6E,LC50 Pass/Fail Static 1Hr Chronic Lepomis macrochirus,4677,A,16,,Y,,,,,TIE6E
TIG1A,LC50 Pass/Fail 1Hr Fert. Test Chr.,4677,A,16,,Y,,,,,TIG1A
TIM3B,LC50 Statre 48Hr Acuc. Dubia,4677,A,55,,N,,,,,TIM3B
TIM3D,LC50 Pass/Fail Static Renewal 48Hr Acute Daphnia Pulex,4677,A,55,,N,,,,,TIM3D
TIM6C,LC50 Statre 48Hr Acute P. Promelas,4677,A,55,,N,,,,,TIM6C
TIM6E,LC50 Pass/Fail Static Renewal 48Hr Acute Lepomis Macrochirus,4677,A,16,,Y,,,,,TIM6E
TIN6E,LC50 Pass/Fail Statre 96Hr Acute Lepomis Macrochi,4677,A,16,,Y,,,,,TIN6E
TIO6E,LC50 Pass/Fail Statre 4Day Chronic Lepomis Macrochi,4677,A,16,,Y,,,,,TIO6E
TIP6E,LC50 Pass/Fail Statre 7Day Chronic Lepomis Macrochi,4677,A,16,,Y,,,,,TIP6E
TIW6E,LC50 Pass/Fail Flth 48Hr Acute Lepomis Macrochi,4677,A,16,,Y,,,,,TIW6E
TIX6E,LC50 Pass/Fail Flth 96Hr Acute Lepomis Macrochi,4677,A,16,,Y,,,,,TIX6E
TIY6E,LC50 Pass/Fail Flth 4Day Chronic Lepomis Macrochi,4677,A,16,,Y,,,,,TIY6E
TIZ6E,LC50 Pass/Fail Flth 7Day Chronic Lepomis Macrochi,4677,A,16,,Y,,,,,TIZ6E
TJA3B,% Mortality Static 48Hr Acute Ceriodaphnia,4677,A,16,,Y,,,,,TJA3B
TJA3E,% Mortality Static 48Hr Acute Mysid. Bahia,4677,A,16,,Y,,,,,TJA3E
TJB1B,%Mortality 96Hr Acute L. Minor,4677,A,16,,Y,,,,,TJB1B
TJE1A,%Mortality 1Hr Chronic Selen. Capr.,4677,A,16,,Y,,,,,TJE1A
TJE1B,%Mortality 1Hr Chronic L. Minor,4677,A,16,,Y,,,,,TJE1B
TJE3B,%Mortality Static 24Hr Acute Ceriodaphnia,4677,A,16,,Y,,,,,TJE3B
TJE6C,%Mortality Static 24Hr Acute Pimephales,4677,A,16,,Y,,,,,TJE6C
TJF1A,"48Hr Chr, 5-7 Day Rec. Selen. Capr.",4677,A,16,,Y,,,,,TJF1A
TJF1B,"48Hr Chr, 5-7 Day Rec. L. Minor",4677,A,16,,Y,,,,,TJF1B
TJG1A,1 Hr Fert. Test Chronic Selen. Capr.,4677,A,16,,Y,,,,,TJG1A
TJM3D,%Mortality Static Renewal 48Hr Acute Daphnia Pulex,4677,A,16,,Y,,,,,TJM3D
TJM6C,%Mortality 48Hr Acute P. Promelas Test,4677,A,16,,Y,,,,,TJM6C
TJP3B,%Mortality 7Day Chronic Ceriodaphnia,4677,A,16,,Y,,,,,TJP3B
TJP3E,%Mortality 7Day Chronic Mysid. Bahia,4677,A,16,,Y,,,,,TJP3E
TJP3X,%Mortality Static Renewal 7Day Chronic Daphnia Ambigua,4677,A,16,,Y,,,,,TJP3X
TJP6C,%Mortality Static Renewal 7Day Chronic Pimephales Promelas,4677,A,16,,Y,,,,,TJP6C
TKB1A,TU 96Hr Acute Selen. Capr.,4677,A,16,,Y,,,,,TKB1A
TKB1B,TU 96Hr Acute L. Minor,4677,A,16,,Y,,,,,TKB1B
TKE1A,TU 1Hr Chronic Selen. Capr.,4677,A,16,,Y,,,,,TKE1A
TKE1B,TU 1Hr Chronic L. Minor,4677,A,16,,Y,,,,,TKE1B
TKF1A,"TU 48Hr Chr, 5-7 Day Rec. Selen. Capr.",4677,A,16,,Y,,,,,TKF1A
TKF1B,"TU 48 Hr Chr, 5-7 Day Rec. L. Minor",4677,A,16,,Y,,,,,TKF1B
81020,Sulfate,6101,A,59,,Y,1.0,Sulfate,Uncommon,Uncommon,81020
81021,"Residue, total volatile",12255,A,59,,Y,1.0,,,,81021
81207,Seawater gel mud,12204,A,65,,Y,1.0,,,,81207
81208,"Cyanide, free not amenable to chlorin.",5123,A,59,,Y,2.0,,,,81208
81281,Kepone,10642,A,59,,Y,2.0,,,,81281
81283,Benzene hexachloride,11124,A,59,,Y,2.0,,,,81283
81284,Trifluralin [C13H16F3N3O4],10879,A,59,,Y,2.0,,,,81284
81286,"BOD, carbonaceous [5-day, 20 C][streamflow]",10107,A,107,,Y,1.0,,,,81286
81287,Dinitrobutyl phenol,12016,A,59,,Y,2.0,,,,81287
81288,"BHC, total",11124,A,59,,Y,2.0,,,,81288
81290,EPN,12048,A,59,,Y,,,,,81290
81291,Phosalone,12075,A,59,,Y,,,,,81291
81292,Azinphos-ethyl,12066,A,59,,Y,,,,,81292
81293,Coumaphos,12088,A,59,,Y,2.0,,,,81293
81295,"DEF, total",12090,A,78,,Y,,,,,81295
81299,"Organics, total",2991,A,59,,Y,2.0,,,,81299
81302,Dibenzofuran,5201,A,59,,Y,2.0,,,,81302
81308,"Hydrocarbons, nitrated",11405,A,59,,Y,2.0,,,,81308
81313,Hydrazine,2072,A,59,,Y,2.0,,,,81313
81314,"1,1-Dimethylhydrazine",11398,A,59,,Y,2.0,,,,81314
81317,Thiosulfate ion[2-],12406,A,59,,Y,2.0,,,,81317
81318,Ferrocyanide,11296,A,59,,Y,1.0,,,,81318
81322,Chlorpropham,11041,A,59,,Y,,Chlorpropham,Uncommon,Uncommon,81322
81324,"Camphor, whole water",10177,A,59,,Y,,,,,81324
81328,"Dichloroethene, total",11287,A,59,,Y,2.0,,,,81328
81329,"Hexene, total water",11397,A,59,,Y,,,,,81329
81332,"N,N-Dimethyl acetamide, whole water",10776,A,59,,Y,,,,,81332
81333,"Dichlorobenzene, isomer",10152,A,59,,Y,2.0,,,,81333
34445,"Naphthalene, dry weight",5680,A,59,,Y,2.0,,,,34445
34447,Nitrobenzene,10164,A,59,,Y,2.0,Nitrobenzene,Toxic Organics,Toxic Organics,34447
