PARAMETER_CODE,PARAMETER_DESC,POLLUTANT_CODE,STATUS_FLAG,UNIT_GROUP_CODE,PERCENT_REMOVAL_FLAG,PERCENT_EXCEEDENCE_FLAG,SNC_FLAG
79852,"Isopropyl-1,1-diphenylethane",10901,A,59,,Y,
79853,"Isopropyl-1,2-diphenylethane",10897,A,59,,Y,
79854,"sec-Butyl-1,2-diphenylethane",10898,A,59,,Y,
79855,Adsorbable organic halides [AOX],10091,A,59,,Y,
79856,"sec-Butyl-1,1-diphenylethane",10900,A,59,,Y,
79857,Certified operator name,11070,I,158,,N,
79858,Certified operator number,11071,I,158,,N,
79859,Certified operator class,11069,I,158,,N,
79860,Certified operator certification exp.,11068,I,158,,N,
79861,Diethylhydroxylamine,11245,A,59,N,Y,2
79862,n-Heptane,2040,A,59,,Y,
80000,Alpha activity,10804,A,36,,Y,2
80029,Alpha gross radioactivity,10804,A,9,,Y,
80030,Radiation-gross alpha tot dissolved,10804,A,9,,Y,
80040,Radiation-gross alpha tot suspended,10804,A,9,,Y,
80045,"Alpha, gross particle activity",10804,A,112,,Y,
80082,"BOD, carbonaceous [5 day, 20 C]",10107,A,59,,Y,1
80087,"BOD, carbonaceous [20 day, 20 C]",10847,A,59,,Y,1
80089,"BOD, carbonaceous [40 day, 20 C]",10848,A,59,,Y,
80091,"BOD, carb-5 day, 20 deg C, percent removal",10852,A,90,Y,Y,1
80092,"Dechlorination reagent, gen",11145,A,59,,Y,
80093,Dilution factor,11193,A,85,,Y,
80103,Chemical oxygen demand [COD],905,A,108,,Y,
80107,"Sulfur, total",3917,A,59,,Y,1
80108,Chemical oxygen demand [COD],905,I,59,,Y,1
80114,"Color, concentration at wavelength",11108,A,59,,Y,
80115,Chem. oxygen demand [COD] % removal,11077,A,16,Y,Y,1
80116,"Chemical oxygen demand, soluble",905,A,59,,Y,1
80126,"BOD, carbonaceous [5 day, 5 C]",10849,A,59,,Y,1
80273,"BOD, carbonaceous [25-day, 20 C]",10850,A,59,,Y,1
80276,"BOD, carbonaceous [28 day, 20 C]",10851,A,59,,Y,1
80278,Non-nitrogenous BOD,10107,A,59,,Y,1
80279,CBOD5+NH3-N,10998,A,59,,Y,1
80280,"Carbonaceous BOD, 5 day, 20 deg C filtrd",10854,A,59,,Y,1
80355,"1,1,2,2-Tetrachloroethylene",10284,I,59,,Y,2
80357,"Chromium, trivalent dissolved, as Cr",10215,A,59,,Y,
80358,"BOD, carbonaceous, percent removal",10853,A,90,Y,Y,1
80887,Ferrochrome lignosulfonated frwtr mud,11228,A,65,,Y,1
80888,Lightly treated lignosulfonated mud,11644,A,65,,Y,1
80991,Sludge waste from secondary clarifiers,12222,A,123,,Y,
80996,Spray irrigation,12267,A,51,,Y,
80998,Bypass valve,10997,A,141,,Y,
80999,Bypass of treatment,10997,A,138,,Y,
81005,"Recirculation, percent of plant flow",12181,A,16,,Y,
81009,"Solids, volatile suspended, % removal",12262,A,16,Y,Y,1
81010,"BOD, 5-day, percent removal",10846,A,90,Y,Y,1
81011,"Solids, suspended percent removal",12240,A,90,Y,Y,1
81012,"Phosphorus, total percent removal",5889,A,16,Y,Y,1
81013,"Residue, volatile nonfilterable",12244,A,59,,Y,1
81014,"Sludge return rate, % of plant flow",12218,A,16,,Y,
81015,"Residue, total filterable",4151,A,59,,Y,1
74024,Caustic in drilling fluids,11064,A,59,,Y,
74025,"Temperature, summer [deg. C]",12387,A,2,,Y,
74026,"Temperature, winter [deg. C]",12390,A,2,,Y,
74027,"Temperature, summer [deg. F]",12388,A,8,,Y,
74028,"Temperature, winter [deg. F]",12391,A,8,,Y,
74029,Temperature rate of change deg. F/hour,12381,A,147,,Y,
74030,Flashpoint temp of oil/solv ASTM 93-77,11303,A,2,,Y,
74051,"Algicides, general",10798,A,59,,Y,1
TEY6E,LF Pass/Fail Flth 4Day Chronic Lepomis Macrochi,4677,A,16,,Y,
TEZ6E,LF Pass/Fail Flth 7Day Chronic Lepomis Macrochi,4677,A,16,,Y,
79617,".alpha.-Endosulfan, in waste",10759,I,59,,Y,2
TSB6K,Static Renewal 96Hr Acute Gasterost aculeatus,4677,A,49,,Y,
TSB6N,Static 96Hr Acute Citharichys sitigmae,4677,A,49,,Y,
TSM3B,Static Renewal 48Hr Acute Ceriodaphnia Dubia,4677,A,49,,Y,
TSM3C,Static Renewal 48Hr Acute Daphnia Magna,4677,A,49,,Y,
TSN3B,Static Renewal 96Hr Acute Ceriodaphnia Dubia,4677,A,49,,Y,
TSN6C,Static Renewal 96Hr Acute Pimphales Promelas,4677,A,49,,Y,
TSN6I,Static Renewal 96Hr Acute Oncorhynchus Mykiss,4677,A,49,,Y,
TSN6J,Static Renewal 96Hr Acute Menidia Beryllina,4677,A,49,,Y,
TSN6L,Static Renewal 96Hr Acute Atherinops Affinis,4677,A,49,,Y,
TSX6K,Flth 96Hr Acute Gasterost Aculeatus,4677,A,49,,Y,2
TT000,"Toxicity, Chronic",4677,A,49,,Y,
TTA1D,Static 48Hr Chronic Macrocystis Pyrifera,4677,A,49,,Y,
TTC1A,Static 4Day Chronic Selen. Capricornutum,4677,A,49,,Y,
TTC1E,Static 4 Day Chronic Raphidocelis subcapitata,4677,A,49,,Y,
TTD3B,Static 7Day Chronic Ceriodaphnia Dubia,4677,A,49,,Y,
TTD6C,Static 7Day Chronic Pimephales Promelas,4677,A,49,,Y,
TTD6J,Static 7Day Chronic Menidia beryllina,4677,A,49,,Y,
TTE3L,Static 1Hr Chronic Strongyl. Purpuratus,4677,A,49,,Y,
73179,p-Dimethylaminoazobenzene,10886,A,59,,Y,2
73183,Phenacetin,10777,A,59,,Y,2
73184,Ethyl methanesulfonate,11676,A,59,,Y,2
73185,"Aniline, dry weight",10113,A,59,,Y,
73188,"Ethanol, dry weight",5286,A,59,,Y,
73189,"1,2-Dichlorobenzene, dry weight",10133,A,59,,Y,
73190,Methyl methanesulfonate,11677,A,59,,Y,2
73191,"Acetone, dry weight",10051,A,59,,Y,2
73199,"Methoxychlor, dry weight",10899,A,59,,Y,
73202,"Bromoethane, dry weight",11263,A,59,,Y,
73207,Acetonitrile,278,A,59,,Y,
73209,"Carbon disulfide, dry weight",817,A,59,,Y,
73211,"Bromodichloromethane, dry weight",11660,A,59,,Y,
73214,"Trichlorofluoromethane, dry weight",10346,A,59,,Y,
73281,"Styrene, dry weight",10155,A,59,,Y,
73282,"Benzyl alcohol, dry weight",10943,A,59,,Y,
73292,"1,2-Dibromomethane",10261,A,59,,Y,2
73299,"Vinyl acetate, dry weight",10077,A,59,,Y,
73304,"Chloromethane, dry weight",10338,A,59,,Y,
73312,"Pyridine, dry weight",3541,A,59,,Y,
73334,"Dimethyl phthalate, dry weight",10631,A,59,,Y,
73335,"Dibenzofuran, dry weight",5201,A,59,,Y,
73354,"Benzo[b]fluoranthene, dry weight",10110,A,59,,Y,
73382,"Xylenes [total], dry weight",10153,A,59,,Y,
73403,"cis-1,3-Dichloropropene, dry weight",10693,A,59,,Y,
73404,"trans-1,3-Dichloropropene, dry weight",10693,A,59,,Y,
