GLOBAL ID,REPORTING YEAR,REPORTING MONTH,NON OPERATIONAL,INFLUENT VOLUME,INFLUENT TYPE,INFLUENT TYPE EST EXPLANATION,EFF NOT WITHIN 20 EXPLANATION,INFLUENT 0 EXPLANATION,WWTP 1,WWTP VOL 1,WWTP 2,WWTP VOL 2,WWTP 3,WWTP VOL 3,WWTP 4,WWTP VOL 4,WWTP 5,WWTP VOL 5
NPD100051610,2019,3,NA,423.5,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051610,2019,5,NA,305.4,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100035075,2019,7,NA,308,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100035075,2019,10,NA,241,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100035075,2019,11,NA,251,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100035075,2019,12,NA,281,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051534,2019,4,NA,127.3,metered,NA,Remainder of treated flow was stored in our Reservoir,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051534,2019,5,NA,84.5,metered,NA,Remainder stored in our reservoir.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051534,2019,12,NA,113.8,metered,NA,Remainder stored in our reservoir.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100039670,2019,1,X,0,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100039670,2019,2,NA,1.63,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100039670,2019,4,NA,10.03,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100039670,2019,6,NA,20.21,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100039670,2019,7,NA,21.16,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100039670,2019,9,NA,18.52,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100039670,2019,10,NA,17.68,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100039670,2019,11,NA,6.17,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100039670,2019,12,X,0,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051501,2019,2,NA,129,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051592,2019,11,NA,100.4,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051605,2019,1,NA,67,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051605,2019,2,NA,79,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051605,2019,8,NA,72,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051605,2019,11,NA,62,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034690,2019,1,NA,84.57,metered,NA,Treatment plant does not have a NPDES permit. All recycled water produced by the facility is stored until put towards a beneficial use.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034743,2019,2,NA,7.2,metered,NA,Discharged excess in preparation for wet weather.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034743,2019,11,NA,3.57,metered,NA,Increased aeration retention time.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100035075,2020,1,NA,255,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051515,2019,3,NA,119.867,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100030780,2019,1,NA,1.33,estimated,estimated from hour meters on lift station pumps,"all treated wastewater is contained in aeration, percolation and evaporation  ponds",NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100030780,2019,7,NA,3.11,estimated,estimated from hour meters on lift station pumps,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100030780,2019,8,NA,1.9,estimated,estimated from hour meters on lift station pumps,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100030780,2019,9,NA,1.72,estimated,estimated from hour meters on lift station pumps,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100030780,2019,11,NA,1.72,estimated,estimated from hour meters on lift station pumps,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100029631,2019,1,NA,61.78,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100036941,2019,1,NA,1034.33,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100029631,2019,7,NA,61.691,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100029631,2019,8,NA,60.138,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100029631,2019,9,NA,57.141,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100029631,2019,10,NA,59.376,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
