CWNS_ID,DUMMY_ID,FACILITY_NAME,PERMIT_NUMBER,TOTAL_RES_POPULATION_2022,FACILITY_TYPE,CURRENT_DESIGN_FLOW,COUNTY_NAME,STATE_CODE,LATITUDE,LONGITUDE,CITY
18120000021,18120000021t0,Clear Creek CD (Collection: Separate Sewers),['IN0045527'],3830.0,Collection: Separate Sewers,0.4,Putnam,IN,39.717,-86.7159,Fillmore
18120000021,18120000021t1,Clear Creek CD (Treatment Plant),['IN0045527'],3830.0,Treatment Plant,0.4,Putnam,IN,39.717,-86.7159,Fillmore
8201200086,8201200086,North Lincoln WSD,,802.0,Collection: Separate Sewers,,,CO,39.794293,-105.008612,Denver
29002204002,29002204002,RCSD Godfrey Gardens,['MO0080632'],7500.0,Collection: Separate Sewers,,,MO,38.229889,-90.415917,Festus
18120000064,18120000064,"SPRINGPORT, TOWN OF",,174.0,Collection: Separate Sewers,,,IN,40.0472,-85.3663,Springport
17005507003,17005507003t1,Benton WWTP & Collection System (Treatment Plant),['IL0022365'],6784.0,Treatment Plant,1.01,Franklin,IL,37.9894,-88.8981,Benton
17005507003,17005507003t0,Benton WWTP & Collection System (Collection: Separate Sewers),['IL0022365'],6784.0,Collection: Separate Sewers,1.01,Franklin,IL,37.9894,-88.8981,Benton
4002801027,4002801027,Goodyear Water Reclamation,,70340.0,Water Reuse,,,AZ,33.432014,-112.403183,Goodyear
22009920020,22009920020t1,WBR Westport WWTP (Treatment Plant),['LA0068501'],2047.0,Treatment Plant,0.4,,LA,30.4399,-91.2448,Port Allen
22009920020,22009920020t0,WBR Westport WWTP (Collection: Separate Sewers),['LA0068501'],2047.0,Collection: Separate Sewers,0.4,,LA,30.4399,-91.2448,Port Allen
22009920020,22009920020,WBR Westport WWTP,['LA0068501'],2047.0,Collection: Pump Stations,0.4,,LA,30.4399,-91.2448,Port Allen
29002214007,29002214007t0,"FCPWSD #3, Red Barn (Collection: Separate Sewers)",['MO0043362'],1026.0,Collection: Separate Sewers,0.05,Franklin,MO,38.436,-90.901778,Villa Ridge
29002214007,29002214007t1,"FCPWSD #3, Red Barn (Treatment Plant)",['MO0043362'],1026.0,Treatment Plant,0.05,Franklin,MO,38.436,-90.901778,Villa Ridge
6008022001,6008022001,OCSD WRP No. 1,['CA0110604'],1061827.0,Treatment Plant,182.0,Orange,CA,33.692,-117.939,Fountain Valley
