CWNS_ID,FACILITY_NAME,PERMIT_NUMBER,STATE_CODE,population_cwns,population_cwns_2042,epaid,population_covid,permit_number,Status,population_sso,source,Population Served,pop_std,population_growth_rate
6000000226,Fortuna Stormwater,CA 2006-003-DWQ,CA,,,,,,,,Unmatched,,,
6000000228,Hanford Stormwater,2006-003-DWQ,CA,,,,,,,,Unmatched,,,
6000000294,Fall River Mills Community Services District Wastewater Treatment Facility,2014-0153-dwq-r5177,CA,562.0,675.0,,,,,,CWNS,618.5,79.9,0.92
6000000295,Gridley Wastewater Treatment Plant,R5-2006-0127,CA,6906.0,7110.0,,,,,,CWNS,7008.0,144.25,0.15
6000000296,Klamath Community Services District,84-118,CA,84.0,102.0,,,,,,CWNS,93.0,12.73,0.98
6000000300,Lake Berryessa Resort Improvement District,R5-2013-0114,CA,406.0,495.0,,,,,,CWNS,450.5,62.93,1.0
6000000301,Town of Somoa Wastewater Treatment Facility,CA1000001,CA,0.0,495.0,,,,,,CWNS,247.5,350.02,inf
6000000302,Mineral Wastewater Treatment Plant,CA0084069,CA,630.0,666.0,,,,,,CWNS,648.0,25.46,0.28
6000000303,"Waterford, City of ",2014-0194-DWQ,CA,7920.0,8844.0,,,,,,CWNS,8382.0,653.37,0.55
6000000304,Gualala CSD,R1-2022-0004,CA,1884.0,2000.0,,,,,,CWNS,1942.0,82.02,0.3
6000000305,"Paradise, Town of ",R5-2016-0023,CA,90000.0,93108.0,,,,,,CWNS,91554.0,2197.69,0.17
6000000307,Redlands WWRF,CAL000490,CA,65700.0,72000.0,,,,,,CWNS,68850.0,4454.77,0.46
6000000308,Central Basin Municipal Water District,CA0053911,CA,,,,,,,,Unmatched,,,
6000000309,Markleeville Public Utility District,NO. 6-95-22,CA,166.0,106.0,,,,,,CWNS,136.0,42.43,-2.22
6000000310,Springville Public Utility District,96-195,CA,510.0,18.0,,,,,,CWNS,264.0,347.9,-15.4
6000000311,Advanced Water Treatment Facility ,R4-2018-0022,CA,5430.0,5430.0,,,,,,CWNS,5430.0,0.0,0.0
6000000313,Carpinteria Valley Water District,DWQ- 2014-0194; CAC417109,CA,0.0,3048.0,,,,,,CWNS,1524.0,2155.26,inf
6000203200,San Francisco PUC Collection System,CA0037664,CA,582120.0,684419.0,CA0037664,750000.0,,,,CWNS+COVID,672179.6666666666,84606.59,0.81
6001001001,TULELAKE STP,CA0023272,CA,889.0,889.0,,,,,,CWNS,889.0,0.0,0.0
6001002001,MONTAGUE WWTF,96-068,CA,1387.0,1387.0,,,,,,CWNS,1387.0,0.0,0.0
6001003001,WEAVERVILLE WWTF,ORDER No. R1-2018-00,CA,2977.0,3092.0,,,,,,CWNS,3034.5,81.32,0.19
6001004001,Westport STF,NO.96-28,CA,129.0,129.0,,,,,,CWNS,129.0,0.0,0.0
6001007001,BLUE LAKE WWTF,R1-2012-0050,CA,1076.0,1076.0,,,,,,CWNS,1076.0,0.0,0.0
6001008001,Ferndale WWTF,CA0022721,CA,1350.0,1350.0,,,,,,CWNS,1350.0,0.0,0.0
6001009001,FORESTVILLE WWTF,CA0023043,CA,837.0,822.0,,,,,,CWNS,829.5,10.61,-0.09
6001010005,ELK RIVER WWTF,CA0024449,CA,41400.0,36895.0,CA0024449,45000.0,,,,CWNS+COVID,41098.333333333336,4060.91,-0.57
6001011001,FORTUNA WWTF,CA0022730,CA,11638.0,11700.0,,,,,,CWNS,11669.0,43.84,0.03
6001012001,GARBERVILLE WWTF,R1-2011-0096,CA,1260.0,958.0,,,,,,CWNS,1109.0,213.55,-1.36
6001013001,HOPLAND WWTF,R1-2008-0003,CA,747.0,545.0,,,,,,CWNS,646.0,142.84,-1.56
6001015001,MCKINLEYVILLE WWTF,CA0024490,CA,15210.0,17348.0,,,,,,CWNS,16279.0,1511.79,0.66
6001016001,MIRANDA WWTF,No. R1-2019-0002,CA,104.0,68.0,,,,,,CWNS,86.0,25.46,-2.1
6001020001,RIO DELL WWTF,CA0022748,CA,2790.0,2790.0,,,,,,CWNS,2790.0,0.0,0.0
6001021001,Sebastopol Collection System,CA0025054,CA,7053.0,7560.0,,,,,,CWNS,7306.5,358.5,0.35
6001027001,Willits WWTF,R1-01-071; CA0023060,CA,8100.0,8460.0,,,,,,CWNS,8280.0,254.56,0.22
6001028001,Fort Bragg WWTP,CA0023078,CA,6928.0,6369.0,,,,,,CWNS,6648.5,395.27,-0.42
6001032001,GRATON WWTF,CA0023639,CA,941.0,918.0,,,,,,CWNS,929.5,16.26,-0.12
6001035001,CLOVERDALE WWTF,CA0022977; 2006-0003-DWQ,CA,7920.0,7920.0,,,,,,CWNS,7920.0,0.0,0.0
6001036001,WINDSOR WWTF,CA0023345,CA,24793.0,23963.0,,,,,,CWNS,24378.0,586.9,-0.17
6001038001,BODEGA BAY WWTF,NO. 91-130,CA,1810.0,1810.0,,,,,,CWNS,1810.0,0.0,0.0
6001040001,Covelo WWTP,CA0023574,CA,1080.0,1080.0,,,,,,CWNS,1080.0,0.0,0.0
6001041001,Crescent City WWTF,CA0022756,CA,11771.0,8647.0,CA0022756,15372.0,,,,CWNS+COVID,11930.0,3365.32,-1.53
6001042001,Yreka WWTF,CAL010509,CA,6990.0,7088.0,,,,,,CWNS,7039.0,69.3,0.07
6001045001,Laguna Wastewater Treatment Plant,CA0022764,CA,262365.0,368674.0,,,,,,CWNS,315519.5,75171.81,1.72
6001045003,Oakmont WWTP,NO.88-052,CA,4091.0,4992.0,,,,,,CWNS,4541.5,637.1,1.0
6001047001,Arcata WWTF,CA0022713,CA,17266.0,20489.0,,,,,,CWNS,18877.5,2279.01,0.86
6001048001,POINT ARENA WWTF,R1-2022-0015,CA,797.0,797.0,,,,,,CWNS,797.0,0.0,0.0
6001049001,ANCHOR BAY WWTF,CA0024040,CA,95.0,95.0,,,,,,CWNS,95.0,0.0,0.0
6001050001,CALPELLA WWTP,ORDER No. R1-2019-00,CA,741.0,990.0,,,,,,CWNS,865.5,176.07,1.46
6001054001,WEED WWTF,NO.96-070,CA,2583.0,2408.0,,,,,,CWNS,2495.5,123.74,-0.35
6001055001,Shelter Cove WWTF,CA0023027,CA,1350.0,1755.0,,,,,,CWNS,1552.5,286.38,1.32
6001056001,Lake Shastina WWTF,R1-2012-0029,CA,680.0,680.0,,,,,,CWNS,680.0,0.0,0.0
6001064001,DORRIS WWTF,98-004,CA,760.0,629.0,,,,,,CWNS,694.5,92.63,-0.94
6001065001,Etna Wastewater Treatment Facility,R1â2015â0026,CA,594.0,495.0,,,,,,CWNS,544.5,70.0,-0.91
6001069001,LOLETA WWTF,CA0023671,CA,676.0,743.0,,,,,,CWNS,709.5,47.38,0.47
6001070001,Mendocino City WWTF,CA0022870,CA,1904.0,1904.0,,,,,,CWNS,1904.0,0.0,0.0
6001079001,Ukiah WWTF,CA0022888; R1-99-065,CA,23872.0,25101.0,,,,,,CWNS,24486.5,869.03,0.25
6001082001,HEALDSBURG WWTF,CA0025135,CA,10980.0,10980.0,,,,,,CWNS,10980.0,0.0,0.0
6001085001,NEWELL WWTF,97-093,CA,295.0,295.0,,,,,,CWNS,295.0,0.0,0.0
6001093001,MANILA WWTF,WDR 95-002,CA,748.0,748.0,,,,,,CWNS,748.0,0.0,0.0
6001099001,LARKFIELD-WIKIUP WWTF,No. R1-2019-0007,CA,8460.0,8864.0,,,,,,CWNS,8662.0,285.67,0.23
6002001001,Castro Valley (Collection),CA0037559; CA0037869,CA,57600.0,74700.0,,,,,,CWNS,66150.0,12091.53,1.31
6002006001,Dublin-San Ramon WWTF,CA0037613,CA,142953.0,165453.0,,,,,,CWNS,154203.0,15909.9,0.73
6002008001,"Sunnyvale, City of (WPCP)",CA0037621,CA,138290.0,173433.0,CA0037621,153000.0,,,,CWNS+COVID,154907.66666666666,17648.99,1.14
6002011001,Burlingame WWTP,CA0037788,CA,37523.0,43431.0,,,,,,CWNS,40477.0,4177.59,0.73
6002012001,Palo Alto Regional WQCP,CA0037834,CA,164714.0,209393.0,CA0037834,236000.0,,,,CWNS+COVID,203369.0,36022.77,1.21
6002015001,SASM WWTF,CA0037711,CA,30981.0,32183.0,,,,,,CWNS,31582.0,849.94,0.19
6002021001,Port Costa WWTF,CA0037885,CA,171.0,171.0,,,,,,CWNS,171.0,0.0,0.0
6002023001,Delta Diablo Wastewater Treatment Plant,CA0038547,CA,187226.0,219544.0,CA0038547,218281.0,,,,CWNS+COVID,208350.33333333334,18305.11,0.8
6002024001,MOUNTAIN VIEW WWTF,CA0037770,CA,19710.0,21579.0,,,,,,CWNS,20644.5,1321.58,0.45
6002025001,Central Contra Costa WWTF,CA0037648,CA,552952.0,559174.0,CA0037648,487300.0,,,,CWNS+COVID,533142.0,39822.04,0.06
6002029001,"Hayward, City of (WPCF)",CA0037869,CA,146659.0,187295.0,,,,,,CWNS,166977.0,28733.99,1.23
6002030001,Richmond Municipal Sewer District Water Pollution Control Plant,CA0038539,CA,96564.0,103500.0,,,,,,CWNS,100032.0,4904.49,0.35
6002032004,Treasure Island WWTF,CA0110116,CA,2250.0,16776.0,,,,,,CWNS,9513.0,10271.43,10.57
6002032005,Oceanside WPCP,CA0037681,CA,225000.0,264541.0,CA0037681,250000.0,,,,CWNS+COVID,246513.66666666666,19999.71,0.81
6002033001,NAPA SANIT. DIST WWRF,2006-0003-DWQ; CA0037575,CA,74970.0,74970.0,,,,,,CWNS,74970.0,0.0,0.0
6002034002,C & H SUGAR JOINT WWTP,CA0005240,CA,3811.0,3811.0,,,,,,CWNS,3811.0,0.0,0.0
6002036001,East Bay MUD Main WWTP,CA0037702,CA,1134202.0,1259206.0,CA0037702,740000.0,,,,CWNS+COVID,1044469.3333333334,270984.65,0.52
6002038001,Fairfield-Suisun Sewer District,CA0038024,CA,131400.0,205948.0,,,,,,CWNS,168674.0,52713.4,2.27
6002039001,MILLBRAE MADRONE WWTF,CA0037532,CA,20270.0,23397.0,,,,,,CWNS,21833.5,2211.12,0.72
6002040001,North San Mateo County Sanitation District WWTP,CA0037737,CA,114521.0,114521.0,,,,,,CWNS,114521.0,0.0,0.0
6002042001,"San Leandro, City of (WPCP)",CA0038881,CA,49500.0,55800.0,,,,,,CWNS,52650.0,4454.77,0.6
6002043001,San Mateo WWTF,CA0037541,CA,155584.0,167466.0,,,,,,CWNS,161525.0,8401.84,0.37
6002044004,Central Marin San. Agency WWTF,CA0038628,CA,54611.0,61186.0,,,,,,CWNS,57898.5,4649.23,0.57
6002046001,SO SF-SAN BRUNO WWTF,CA0038130,CA,100313.0,106257.0,,,,,,CWNS,103285.0,4203.04,0.29
6002047001,VSFCD WWTF,CA0037699,CA,110442.0,110442.0,,,,,,CWNS,110442.0,0.0,0.0
6002049001,Montara Collection System,WDR 2006-0003-DWQ,CA,5239.0,5239.0,,,,,,CWNS,5239.0,0.0,0.0
6002053001,Calistoga WWTP,CA0037966,CA,4981.0,4981.0,,,,,,CWNS,4981.0,0.0,0.0
6002054001,American Canyon WWTF,CA0038768,CA,18869.0,18869.0,CA0038768,20256.0,,,,CWNS+COVID,19331.333333333332,800.78,0.0
6002058001,Sewer Authority Mid-Coastside WWTF,R2-00-016; CA0038598,CA,22558.0,22577.0,,,,,,CWNS,22567.5,13.44,0.0
6002060007,Tomales WWTP,R2-86-86 ,CA,200.0,324.0,,,,,,CWNS,262.0,87.68,2.44
6002063001,Marin Co. SD #5 WWTF,2006-0003-DWQ; CA0037753,CA,9450.0,9630.0,,,,,,CWNS,9540.0,127.28,0.09
6002063002,PARADISE COVE WWTF,2006-0003-DWQ; CA0037427,CA,387.0,387.0,,,,,,CWNS,387.0,0.0,0.0
6002064001,RODEO WWTF,CA0037826,CA,8111.0,8111.0,,,,,,CWNS,8111.0,0.0,0.0
6002069001,Sonoma Valley WWTF,CA0037800,CA,30188.0,26284.0,,,,,,CWNS,28236.0,2760.54,-0.69
6002071001,Novato WWTF,CA0037958,CA,51332.0,54000.0,,,,,,CWNS,52666.0,1886.56,0.25
6002072001,SAUSALITO-MARIN CITY WWTF,2006-0003-DWQ; CA0038067,CA,21749.0,21749.0,,,,,,CWNS,21749.0,0.0,0.0
6002074001,ST. HELENA WWTF,CA0038016,CA,4847.0,4204.0,,,,,,CWNS,4525.5,454.67,-0.71
6002081001,Union Sanitary District (Alvarado WWTF),CA0038733,CA,320490.0,366928.0,,,,,,CWNS,343709.0,32836.62,0.68
6002082001,BENICIA WWTF,CA0038091,CA,25357.0,27301.0,,,,,,CWNS,26329.0,1374.62,0.37
6002084001,Stege SD Collection System,CA0038482,CA,32400.0,37802.0,,,,,,CWNS,35101.0,3819.79,0.77
6002090001,Ironhouse WRF,CA0085260,CA,39600.0,39600.0,,,,,,CWNS,39600.0,0.0,0.0
6002108001,Las Gallinas Valley Sanitary District Sewage Treatment Plant,CA0037851,CA,27000.0,25538.0,,,,,,CWNS,26269.0,1033.79,-0.28
6002118001,Ellis Creek WRF,CA0037810,CA,55406.0,58500.0,,,,,,CWNS,56953.0,2187.79,0.27
6002120001,Pinole-Hercules Water Pollution Control Plant,CA0037796,CA,79780.0,86159.0,,,,,,CWNS,82969.5,4510.63,0.39
6002123001,S.F. International Airport WQCP,CA0038318,CA,1.0,1.0,,,,,,CWNS,1.0,0.0,0.0
6002127001,YOUNTVILLE-VETERANS WWTF,CA0038121,CA,2970.0,3725.0,,,,,,CWNS,3347.5,533.87,1.14
6003003001,Lake Cachuma County Park WWTF,NO. R3-2002-0012,CA,0.0,0.0,,,,,,CWNS,0.0,0.0,
6003004001,San Luis Obispo WRF,CA0049224,CA,40960.0,44100.0,CA0049224,47545.0,,,,CWNS+COVID,44201.666666666664,3293.68,0.37
6003005001,ATASCADERO WWTF,CAL010561,CA,12600.0,13860.0,,,,,,CWNS,13230.0,890.95,0.48
6003008001,SCOTTS VALLEY WWTF,CA0048828,CA,11008.0,12236.0,,,,,,CWNS,11622.0,868.33,0.53
6003010001,SANTA CRUZ WWTF,CA0048194,CA,75026.0,95827.0,,,,,,CWNS,85426.5,14708.53,1.23
6003012001,Monterey One Water (Regional WWTP and Advanced Water Purification Facility),CA0048551,CA,409354.0,427421.0,,,,,,CWNS,418387.5,12775.3,0.22
6003014001,Morro Bay Cayucos WWTF,CA0047881,CA,9787.0,9787.0,,,,,,CWNS,9787.0,0.0,0.0
6003017001,Carmel Area Wastewater Treatment Plant,CA0047996,CA,19917.0,20147.0,,,,,,CWNS,20032.0,162.63,0.06
6003019001,CHUALAR TREATMENT PONDS,CA0049981,CA,1067.0,1067.0,,,,,,CWNS,1067.0,0.0,0.0
6003021001,Goleta Sanitary District Water Resource Recovery Facility,CA0048160,CA,74129.0,91524.0,,,,,,CWNS,82826.5,12300.12,1.06
6003022001,GREENFIELD WWTF,R3-2002-0062,CA,15727.0,15727.0,,,,,,CWNS,15727.0,0.0,0.0
6003027001,PASO ROBLES WWTP,CA0047953,CA,34557.0,38383.0,,,,,,CWNS,36470.0,2705.39,0.53
6003028001,"Pismo Beach, City of (Collection & WWTF)",2006-0003-DWQ; CA0048151,CA,7743.0,7743.0,,,,,,CWNS,7743.0,0.0,0.0
6003030001,Cambria WQCP,ORDER NO. R3-2019-00; CAL010562,CA,5400.0,4770.0,,,,,,CWNS,5085.0,445.48,-0.62
6003033001,Heritage Ranch Sewer Treatm Plant,CA0048941,CA,3413.0,2970.0,,,,,,CWNS,3191.5,313.25,-0.69
6003035001,SAN MIGUEL STP,CAC407893,CA,2307.0,2547.0,,,,,,CWNS,2427.0,169.71,0.5
6003036001,SAN SIMEON ACRES WWTF,CA0047961,CA,496.0,452.0,,,,,,CWNS,474.0,31.11,-0.46
6003037001,El Estero Wastewater Treatment Facility,CA0048143,CA,86400.0,87300.0,CA0048143,77600.0,,,,CWNS+COVID,83766.66666666667,5359.42,0.05
6003040001,SANTA MARIA WWTF,R3-2010-0001; 2006-0003-DWQ,CA,97200.0,126000.0,,,,,,CWNS,111600.0,20364.68,1.31
6003042001,Summerland WWTP,R3-03-012; CA0048054,CA,1058.0,721.0,,,,,,CWNS,889.5,238.29,-1.9
6003044001,Watsonville WWTF,CA0048216,CA,58713.0,61152.0,,,,,,CWNS,59932.5,1724.63,0.2
6003046001,Pfeiffer Big Sur WWTF,NO.98-62,CA,49.0,49.0,,,,,,CWNS,49.0,0.0,0.0
6003047001,SAN JUAN BAUTISTA WWTF,CA0047902,CA,1715.0,1715.0,,,,,,CWNS,1715.0,0.0,0.0
6003049001,Laguna CSD WWTF,R3-2011-0217,CA,31500.0,38209.0,,,,,,CWNS,34854.5,4743.98,0.97
6003050001,City of Lompoc WWTP,2006-0003-DWQ; CA0048127,CA,53937.0,54464.0,,,,,,CWNS,54200.5,372.65,0.05
6003053001,MONTECITO WWTF,CA0047899,CA,9050.0,9050.0,,,,,,CWNS,9050.0,0.0,0.0
6003054002,BEAR CREEK ESTATES WWTF,R3-00-043,CA,191.0,191.0,,,,,,CWNS,191.0,0.0,0.0
6003058001,AVILA BEACH WWTF,CA0047830,CA,720.0,720.0,,,,,,CWNS,720.0,0.0,0.0
